Question Topic;Keep;Comment;Area / Subarea;Page - Module;Variablename;Labels;German Question;English Question;Values
Scale Karl Lauterbach;EDIT;“;Politics / Politician;ScaloPerson - PoliticalApp;political_app.1.player.scalo_pep3;Selection;"""Was halten Sie ganz allgemein von den folgenden Personen? Benutzen Sie dafür bitte die untenstehende Skala von -5 bis +5, mit einem Nullpunkt in der Mitte. -5 bedeutet, dass Sie sehr wenig von dieser Person halten. Mit den Werten dazwischen können Sie Ihrer Meinug abstufen.""";"""How much do you like or dislike each of the following persons? Please use the scale below, ranging from -5 to +5, with 0 indicating the middle. +5 means that you strongly like the person; -5 means that you strongly dislike the person. Choose the numbers in between to grade your statement.""";"-5 (strong dislike) - +5 (strong like); -999 No Answer"
Scale Christian Lindner;EDIT;“;Politics / Politician;ScaloPerson - PoliticalApp;political_app.1.player.scalo_pep4;Selection;"""Was halten Sie ganz allgemein von den folgenden Personen? Benutzen Sie dafür bitte die untenstehende Skala von -5 bis +5, mit einem Nullpunkt in der Mitte. -5 bedeutet, dass Sie sehr wenig von dieser Person halten. Mit den Werten dazwischen können Sie Ihrer Meinug abstufen.""";"""How much do you like or dislike each of the following persons? Please use the scale below, ranging from -5 to +5, with 0 indicating the middle. +5 means that you strongly like the person; -5 means that you strongly dislike the person. Choose the numbers in between to grade your statement.""";"-5 (strong dislike) - +5 (strong like); -999 No Answer"
Scale Friedrich Merz;EDIT;“;Politics / Politician;ScaloPerson - PoliticalApp;political_app.1.player.scalo_pep5;Selection;"""Was halten Sie ganz allgemein von den folgenden Personen? Benutzen Sie dafür bitte die untenstehende Skala von -5 bis +5, mit einem Nullpunkt in der Mitte. -5 bedeutet, dass Sie sehr wenig von dieser Person halten. Mit den Werten dazwischen können Sie Ihrer Meinug abstufen.""";"""How much do you like or dislike each of the following persons? Please use the scale below, ranging from -5 to +5, with 0 indicating the middle. +5 means that you strongly like the person; -5 means that you strongly dislike the person. Choose the numbers in between to grade your statement.""";"-5 (strong dislike) - +5 (strong like); -999 No Answer"
Scale Wolodymyr Selenskyj;EDIT;“;Politics / Politician;ScaloPerson - PoliticalApp;political_app.1.player.scalo_pep6;Selection;"""Was halten Sie ganz allgemein von den folgenden Personen? Benutzen Sie dafür bitte die untenstehende Skala von -5 bis +5, mit einem Nullpunkt in der Mitte. -5 bedeutet, dass Sie sehr wenig von dieser Person halten. Mit den Werten dazwischen können Sie Ihrer Meinug abstufen.""";"""How much do you like or dislike each of the following persons? Please use the scale below, ranging from -5 to +5, with 0 indicating the middle. +5 means that you strongly like the person; -5 means that you strongly dislike the person. Choose the numbers in between to grade your statement.""";"-5 (strong dislike) - +5 (strong like); -999 No Answer"
Scale Donald Trump;EDIT;“;Politics / Politician;ScaloPerson - PoliticalApp;political_app.1.player.scalo_pep7;Selection;"""Was halten Sie ganz allgemein von den folgenden Personen? Benutzen Sie dafür bitte die untenstehende Skala von -5 bis +5, mit einem Nullpunkt in der Mitte. -5 bedeutet, dass Sie sehr wenig von dieser Person halten. Mit den Werten dazwischen können Sie Ihrer Meinug abstufen.""";"""How much do you like or dislike each of the following persons? Please use the scale below, ranging from -5 to +5, with 0 indicating the middle. +5 means that you strongly like the person; -5 means that you strongly dislike the person. Choose the numbers in between to grade your statement.""";"-5 (strong dislike) - +5 (strong like); -999 No Answer"
Scale Robert Habeck;EDIT;“;Politics / Politician;ScaloPerson - PoliticalApp;political_app.1.player.scalo_pep8;Selection;"""Was halten Sie ganz allgemein von den folgenden Personen? Benutzen Sie dafür bitte die untenstehende Skala von -5 bis +5, mit einem Nullpunkt in der Mitte. -5 bedeutet, dass Sie sehr wenig von dieser Person halten. Mit den Werten dazwischen können Sie Ihrer Meinug abstufen.""";"""How much do you like or dislike each of the following persons? Please use the scale below, ranging from -5 to +5, with 0 indicating the middle. +5 means that you strongly like the person; -5 means that you strongly dislike the person. Choose the numbers in between to grade your statement.""";"-5 (strong dislike) - +5 (strong like); -999 No Answer"
Scale Greta Thunberg;EDIT;“;Politics / Politician;ScaloPerson - PoliticalApp;political_app.1.player.scalo_pep9;Selection;"""Was halten Sie ganz allgemein von den folgenden Personen? Benutzen Sie dafür bitte die untenstehende Skala von -5 bis +5, mit einem Nullpunkt in der Mitte. -5 bedeutet, dass Sie sehr wenig von dieser Person halten. Mit den Werten dazwischen können Sie Ihrer Meinug abstufen.""";"""How much do you like or dislike each of the following persons? Please use the scale below, ranging from -5 to +5, with 0 indicating the middle. +5 means that you strongly like the person; -5 means that you strongly dislike the person. Choose the numbers in between to grade your statement.""";"-5 (strong dislike) - +5 (strong like); -999 No Answer"
Scale Vladimir Putin;EDIT;“;Politics / Politician;ScaloPerson - PoliticalApp;political_app.1.player.scalo_pep10;Selection;"""Was halten Sie ganz allgemein von den folgenden Personen? Benutzen Sie dafür bitte die untenstehende Skala von -5 bis +5, mit einem Nullpunkt in der Mitte. -5 bedeutet, dass Sie sehr wenig von dieser Person halten. Mit den Werten dazwischen können Sie Ihrer Meinug abstufen.""";"""How much do you like or dislike each of the following persons? Please use the scale below, ranging from -5 to +5, with 0 indicating the middle. +5 means that you strongly like the person; -5 means that you strongly dislike the person. Choose the numbers in between to grade your statement.""";"-5 (strong dislike) - +5 (strong like); -999 No Answer"
Scale Björn Höcke;EDIT;“;Politics / Politician;ScaloPerson - PoliticalApp;political_app.1.player.scalo_pep11;Selection;"""Was halten Sie ganz allgemein von den folgenden Personen? Benutzen Sie dafür bitte die untenstehende Skala von -5 bis +5, mit einem Nullpunkt in der Mitte. -5 bedeutet, dass Sie sehr wenig von dieser Person halten. Mit den Werten dazwischen können Sie Ihrer Meinug abstufen.""";"""How much do you like or dislike each of the following persons? Please use the scale below, ranging from -5 to +5, with 0 indicating the middle. +5 means that you strongly like the person; -5 means that you strongly dislike the person. Choose the numbers in between to grade your statement.""";"-5 (strong dislike) - +5 (strong like); -999 No Answer"
Scale Markus Söder;EDIT;“;Politics / Politician;ScaloPerson - PoliticalApp;political_app.1.player.scalo_pep12;Selection;"""Was halten Sie ganz allgemein von den folgenden Personen? Benutzen Sie dafür bitte die untenstehende Skala von -5 bis +5, mit einem Nullpunkt in der Mitte. -5 bedeutet, dass Sie sehr wenig von dieser Person halten. Mit den Werten dazwischen können Sie Ihrer Meinug abstufen.""";"""How much do you like or dislike each of the following persons? Please use the scale below, ranging from -5 to +5, with 0 indicating the middle. +5 means that you strongly like the person; -5 means that you strongly dislike the person. Choose the numbers in between to grade your statement.""";"-5 (strong dislike) - +5 (strong like); -999 No Answer"
Scale Annalena Baerbock;EDIT;“;Politics / Politician;ScaloPerson - PoliticalApp;political_app.1.player.scalo_pep13;Selection;"""Was halten Sie ganz allgemein von den folgenden Personen? Benutzen Sie dafür bitte die untenstehende Skala von -5 bis +5, mit einem Nullpunkt in der Mitte. -5 bedeutet, dass Sie sehr wenig von dieser Person halten. Mit den Werten dazwischen können Sie Ihrer Meinug abstufen.""";"""How much do you like or dislike each of the following persons? Please use the scale below, ranging from -5 to +5, with 0 indicating the middle. +5 means that you strongly like the person; -5 means that you strongly dislike the person. Choose the numbers in between to grade your statement.""";"-5 (strong dislike) - +5 (strong like); -999 No Answer"
Scale Alice Weidel;EDIT;“;Politics / Politician;ScaloPerson - PoliticalApp;political_app.1.player.scalo_pep14;Selection;"""Was halten Sie ganz allgemein von den folgenden Personen? Benutzen Sie dafür bitte die untenstehende Skala von -5 bis +5, mit einem Nullpunkt in der Mitte. -5 bedeutet, dass Sie sehr wenig von dieser Person halten. Mit den Werten dazwischen können Sie Ihrer Meinug abstufen.""";"""How much do you like or dislike each of the following persons? Please use the scale below, ranging from -5 to +5, with 0 indicating the middle. +5 means that you strongly like the person; -5 means that you strongly dislike the person. Choose the numbers in between to grade your statement.""";"-5 (strong dislike) - +5 (strong like); -999 No Answer"
Scale Sahra Wagenknecht;EDIT;“;Politics / Politician;ScaloPerson - PoliticalApp;political_app.1.player.scalo_pep15;Selection;"""Was halten Sie ganz allgemein von den folgenden Personen? Benutzen Sie dafür bitte die untenstehende Skala von -5 bis +5, mit einem Nullpunkt in der Mitte. -5 bedeutet, dass Sie sehr wenig von dieser Person halten. Mit den Werten dazwischen können Sie Ihrer Meinug abstufen.""";"""How much do you like or dislike each of the following persons? Please use the scale below, ranging from -5 to +5, with 0 indicating the middle. +5 means that you strongly like the person; -5 means that you strongly dislike the person. Choose the numbers in between to grade your statement.""";"-5 (strong dislike) - +5 (strong like); -999 No Answer"
Scale Benjamin Netanjahu;EDIT;“;Politics / Politician;ScaloPerson - PoliticalApp;political_app.1.player.scalo_pep16;Selection;"""Was halten Sie ganz allgemein von den folgenden Personen? Benutzen Sie dafür bitte die untenstehende Skala von -5 bis +5, mit einem Nullpunkt in der Mitte. -5 bedeutet, dass Sie sehr wenig von dieser Person halten. Mit den Werten dazwischen können Sie Ihrer Meinug abstufen.""";"""How much do you like or dislike each of the following persons? Please use the scale below, ranging from -5 to +5, with 0 indicating the middle. +5 means that you strongly like the person; -5 means that you strongly dislike the person. Choose the numbers in between to grade your statement.""";"-5 (strong dislike) - +5 (strong like); -999 No Answer"
Political Question Federal Politics;TRUE;;Politics / Efficacy;PoliticalQuestions - PoliticalApp;political_app.1.player.politics_question_one;Selection;"""Wie sehr stimmen Sie den folgenden Aussagen zu oder nicht zu? Es fallen Ihnen sicherlich konkrete Beispiele zu den Fragen ein aber hier geht es um Ihren persönlichen Gesamteindruck. Wichtige Fragen zur Bundespolitik in Deutschland kann ich gut verstehen und einschätzen.""";"""How strongly do you agree or disagree with the following statements? You might remember specific instances relating to the questions but try to answer from a general perspective. I am able to understand important questions regarding federal politics in Germany.""";"5 = Completely Agree; 4 = Agree; 3 = Neither agree nor disagree; 2 = Disagree; 1 = Completely Disagree; -999 = No Answer"
Political Question MPs Contact;TRUE;;Politics / Efficacy;PoliticalQuestions - PoliticalApp;political_app.1.player.politics_question_two;Selection;"""Wie sehr stimmen Sie den folgenden Aussagen zu oder nicht zu? Es fallen Ihnen sicherlich konkrete Beispiele zu den Fragen ein aber hier geht es um Ihren persönlichen Gesamteindruck. Die Abgeordneten des deutschen Bundestages bemühen sich um einen engen Kontakt zur Bevölkerung.""";"""How strongly do you agree or disagree with the following statements? You might remember specific instances relating to the questions but try to answer from a general perspective. The members of the German parliament strive to keep in close touch with the people.""";"5 = Completely Agree; 4 = Agree; 3 = Neither agree nor disagree; 2 = Disagree; 1 = Completely Disagree; -999 = No Answer"
Political Question Discussion;TRUE;;Politics / Efficacy;PoliticalQuestions - PoliticalApp;political_app.1.player.politics_question_three;Selection;"""Wie sehr stimmen Sie den folgenden Aussagen zu oder nicht zu? Es fallen Ihnen sicherlich konkrete Beispiele zu den Fragen ein aber hier geht es um Ihren persönlichen Gesamteindruck. Ich traue mir zu, mich an einem Gespräch über politische Fragen zur Bundespolitik aktiv zu beteiligen.""";"""How strongly do you agree or disagree with the following statements? You might remember specific instances relating to the questions but try to answer from a general perspective. I have confidence to take an active part in a discussion about issues regarding federal politics.""";"5 = Completely Agree; 4 = Agree; 3 = Neither agree nor disagree; 2 = Disagree; 1 = Completely Disagree; -999 = No Answer"
Political Question MPs Care;TRUE;;Politics / Efficacy;PoliticalQuestions - PoliticalApp;political_app.1.player.politics_question_four;Selection;"""Wie sehr stimmen Sie den folgenden Aussagen zu oder nicht zu? Es fallen Ihnen sicherlich konkrete Beispiele zu den Fragen ein aber hier geht es um Ihren persönlichen Gesamteindruck. Die Abgeordneten des deutschen Bundestages kümmern sich darum, was Leute wich ich denken.""";"""How strongly do you agree or disagree with the following statements? You might remember specific instances relating to the questions but try to answer from a general perspective. The members of the German parliament care about what people like me think.""";"5 = Completely Agree; 4 = Agree; 3 = Neither agree nor disagree; 2 = Disagree; 1 = Completely Disagree; -999 = No Answer"
Political Question Capabilities;TRUE;;Politics / Efficacy;PoliticalQuestions - PoliticalApp;political_app.1.player.politics_question_five;Selection;"""Wie sehr stimmen Sie den folgenden Aussagen zu oder nicht zu? Es fallen Ihnen sicherlich konkrete Beispiele zu den Fragen ein aber hier geht es um Ihren persönlichen Gesamteindruck. In schwierigen Situationen kann ich mich auf meine Fähigkeiten verlassen.""";"""How strongly do you agree or disagree with the following statements? You might remember specific instances relating to the questions but try to answer from a general perspective. In difficult situations, I can trust my capabilities.""";"5 = Completely Agree; 4 = Agree; 3 = Neither agree nor disagree; 2 = Disagree; 1 = Completely Disagree; -999 = No Answer"
Political Question Problems;TRUE;;Politics / Efficacy;PoliticalQuestions - PoliticalApp;political_app.1.player.politics_question_six;Selection;"""Wie sehr stimmen Sie den folgenden Aussagen zu oder nicht zu? Es fallen Ihnen sicherlich konkrete Beispiele zu den Fragen ein aber hier geht es um Ihren persönlichen Gesamteindruck. Die meisten Probleme kann ich aus eigener Kraft gut meistern.""";"""How strongly do you agree or disagree with the following statements? You might remember specific instances relating to the questions but try to answer from a general perspective. I can cope with most problems myself.""";"5 = Completely Agree; 4 = Agree; 3 = Neither agree nor disagree; 2 = Disagree; 1 = Completely Disagree; -999 = No Answer"
Political Question Complex Tasks;TRUE;;Politics / Efficacy;PoliticalQuestions - PoliticalApp;political_app.1.player.politics_question_seven;Selection;"""Wie sehr stimmen Sie den folgenden Aussagen zu oder nicht zu? Es fallen Ihnen sicherlich konkrete Beispiele zu den Fragen ein aber hier geht es um Ihren persönlichen Gesamteindruck. Auch anstrengende und komplizierte Aufgaben kann ich in der Regel gut lösen.""";"""How strongly do you agree or disagree with the following statements? You might remember specific instances relating to the questions but try to answer from a general perspective. In general, I can solve challenging and complex tasks.""";"5 = Completely Agree; 4 = Agree; 3 = Neither agree nor disagree; 2 = Disagree; 1 = Completely Disagree; -999 = No Answer"
